t/s;P(∆T=9,8K);P(∆T=7,9K);P(∆T=6,9K);P(∆T=6,0K)
6181,6;1;0,949386;0,66858;0,396387
6401;1;0,955524;0,680129;0,399424
6471,7;1;0,957573;0,683422;0,4002
6752,5;1;0,964279;0,695652;0,40289
6895,3;1;0,965567;0,701727;0,404199
7023,9;1;0,966339;0,707317;0,405462
7076,2;1;0,96662;0,709651;0,406026
7704;1;0,970374;0,740311;0,417504
7897,1;1;0,972456;0,750359;0,42232
7915,7;1;0,97274;0,751334;0,423012
8039;1;0,975686;0,757744;0,428981
8172,9;1;0,985653;0,764479;0,437175
8570,5;1;0,987831;0,781242;0,46198
8784,6;1;0,987165;0,787661;0,471425
8803,2;1;0,987088;0,788133;0,472101
8943,6;1;0,986453;0,791328;0,477762
9333,5;1;0,985017;0,798229;0,499283
9636,5;1;0,985389;0,802972;0,51076
9685,2;1;0,985653;0,803763;0,512746
9979,8;1;0,988493;0,809182;0,525213
10383;1;0,993815;0,819597;0,542324
10432,9;1;0,994261;0,821071;0,544411
10607;1;0,993621;0,826263;0,553802
10873;1;0,991627;0,835801;0,573888
11100,5;1;1;0,839311;0,57874
11118,4;1;1;0,83971;0,579264
11674,5;1;1;0,850351;0,591105
12052,9;1;1;0,856677;0,596844
12611,5;1;1;0,866571;0,615678
13300,7;1;1;0,880918;0,636896
13408,3;1;1;0,881282;0,639885
14192,3;1;1;0,882254;0,660057
15432;1;1;0,886657;0,695501
15566;1;1;0,887617;0,700143
17507;1;1;0,911016;0,779053
17909;1;1;0,916786;0,784532
18073;1;1;0,91908;0,774749
18264;1;1;0,921696;0,764706
18264;1;1;0,921704;0,767575
18701;1;1;0,927489;0,784167
19063;1;1;0,932082;0,799139
19267;1;1;0,934631;0,806313
19919;1;1;0,942611;0,80984
21459;1;1;0,959828;0,818185
21656;1;1;0,961328;0,819225
22161;1;1;0,963769;0,82188
24117;1;1;0,965567;0,833097
24341;1;1;0,965554;0,835007
24868;1;1;0,965475;0,855093
26826;1;1;0,965004;0,890704
28565;1;1;0,964729;0,916786
31444;1;1;0,965567;0,9743458
36492;1;1;0,976096;0,9828972
45382;1;1;0,977044;0,9914486
48087;1;1;0,982748;1
54031;1;1;0,984218;1
55790;1;1;0,984582;1
57754;1;1;0,984701;1
60081;1;1;1;1
69706;1;1;1;1
69715;1;1;1;1
75083;1;1;1;1
81746;1;1;1;1
82612;1;1;1;1
84379;1;1;1;1
